"full_name","epoch_mjd","a","e","i","om","w","ma","diameter","pha","class","per"
"215442 (2002 MQ3)",60600,0.9137,0.2743,36.29,109.06,346.89,352.21,1.075,N,ATE,319
"216523 (2001 HY7)",60600,0.9136,0.4122,5.21,205.05,211.33,90.01,,Y,ATE,319
"230111 (2001 BE10)",60600,0.8231,0.3692,17.51,297.75,30.60,42.21,,Y,ATE,273
"234145 (2000 EW70)",60600,0.9376,0.3213,5.43,178.03,125.77,294.52,0.344,Y,ATE,332
"234341 (2001 FZ57)",60600,0.9442,0.6042,20.67,22.09,339.98,96.20,0.344,N,ATE,335
"242191 (2003 NZ6)",60600,0.7934,0.4924,18.25,124.58,311.62,294.05,0.370,N,ATE,258
"247517 (2002 QY6)",60600,0.8171,0.6990,12.75,164.18,355.40,167.83,0.269,N,ATE,270
"250680 (2005 QC5)",60600,0.893,0.3645,9.45,48.05,108.72,64.80,0.398,Y,ATE,308
"252399 (2001 TX44)",60600,0.8748,0.5459,15.21,57.76,136.04,262.54,0.291,Y,ATE,299
"260277 (2004 TR12)",60600,0.8952,0.2097,19.36,155.35,77.78,352.01,0.470,N,ATE,309
"262623 (2006 WY2)",60600,0.9833,0.3329,27.55,99.83,159.97,243.79,0.761,N,ATE,356
"264357 (2000 AZ93)",60600,0.7469,0.3600,8.59,277.30,8.17,311.13,0.113,Y,ATE,236
"276770 (2004 HC)",60600,0.7892,0.5987,28.98,202.98,159.38,326.93,,N,ATE,256
"277830 (2006 HR29)",60600,0.9855,0.2638,9.54,232.53,212.66,56.80,,N,ATE,357
"281375 (2008 JV19)",60600,0.9856,0.2485,7.23,141.96,310.61,30.99,,Y,ATE,357
"286079 (2001 TW1)",60600,0.9113,0.5261,31.33,27.34,208.83,256.10,,N,ATE,318
"288592 (2004 JW20)",60600,0.9529,0.5615,14.73,235.15,207.54,84.70,,N,ATE,340
"289227 (2004 XY60)",60600,0.6402,0.7967,23.79,122.58,130.89,121.11,,N,ATE,187
"297418 (2000 SP43)",60600,0.8115,0.4669,10.34,350.53,224.46,70.52,0.407,Y,ATE,267
"302169 (2001 TD45)",60600,0.7966,0.7777,25.37,30.25,212.45,199.85,,Y,ATE,260
"303250 (2004 RU10)",60600,0.9041,0.6569,15.90,118.95,65.30,325.14,,N,ATE,314
"306383 (1993 VD)",60600,0.8758,0.5515,2.07,2.17,254.24,6.11,,Y,ATE,299
"307918 (2004 EU9)",60600,0.8804,0.5053,28.58,161.08,202.43,98.26,0.374,N,ATE,302
"308242 (2005 GO21)",60600,0.7533,0.3400,24.93,272.67,156.64,164.27,,Y,ATE,239
"309214 (2007 LL)",60600,0.9808,0.1741,10.05,247.05,211.51,95.90,,N,ATE,355
"309662 (2008 EE)",60600,0.9813,0.2118,16.16,343.55,332.51,234.42,,N,ATE,355
